Name,Geography Type,Year,Resident Population,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
CONNECTICUT,State,1920,1380631.00,23.9,285.1,6,5,0,"276,126"
DELAWARE,State,1920,223003.00,10.2,114.4,12,1,0,"223,003"
DISTRICT OF COLUMBIA,State,1920,437571.00,32.2,"7,167.60",1,,,
FLORIDA,State,1920,968470.00,28.7,18.1,38,4,0,"242,118"
GEORGIA,State,1920,2895832.00,11,50.4,21,12,0,"241,319"
HAWAII,State,1920,255912.00,33.4,39.8,28,,,
IDAHO,State,1920,431866.00,32.6,5.2,46,2,0,"215,221"
ILLINOIS,State,1920,6485280.00,15,116.8,11,27,0,"240,196"
INDIANA,State,1920,2930390.00,8.5,81.8,13,13,0,"225,415"
IOWA,State,1920,2404021.00,8.1,43,26,11,0,"218,547"
KANSAS,State,1920,1769257.00,4.6,21.6,36,8,0,"221,157"
KENTUCKY,State,1920,2416630.00,5.5,61.2,15,11,0,"219,694"
LOUISIANA,State,1920,1798509.00,8.6,41.6,27,8,0,"224,814"
MAINE,State,1920,768014.00,3.5,24.9,34,4,0,"192,004"
MARYLAND,State,1920,1449661.00,11.9,149.3,9,6,0,"241,610"
MASSACHUSETTS,State,1920,3852356.00,14.4,493.9,3,16,0,"240,772"
MICHIGAN,State,1920,3668412.00,30.5,64.9,14,13,0,"282,186"
MINNESOTA,State,1920,2387125.00,15,30,32,10,0,"238,566"
MISSISSIPPI,State,1920,1790618.00,-0.4,38.2,29,8,0,"223,827"
MISSOURI,State,1920,3404055.00,3.4,49.5,22,16,0,"212,753"
MONTANA,State,1920,548889.00,46,3.8,47,2,0,"270,756"
NEBRASKA,State,1920,1296372.00,8.7,16.9,40,6,0,"216,062"
NEVADA,State,1920,77407.00,-5.5,0.7,51,1,0,"75,820"
NEW HAMPSHIRE,State,1920,443083.00,2.9,49.5,22,2,0,"221,542"
NEW JERSEY,State,1920,3155900.00,24.4,429.1,4,12,0,"262,992"
NEW MEXICO,State,1920,360350.00,10.1,3,48,1,1,"353,428"
NEW YORK,State,1920,10385227.00,14,220.4,7,43,0,"241,409"
NORTH CAROLINA,State,1920,2559123.00,16,52.6,20,10,0,"255,912"
NORTH DAKOTA,State,1920,646872.00,12.1,9.4,41,3,0,"214,651"
OHIO,State,1920,5759394.00,20.8,141,10,22,0,"261,791"
OKLAHOMA,State,1920,2028283.00,22.4,29.6,33,8,0,"253,535"
OREGON,State,1920,783389.00,16.4,8.2,44,3,0,"261,130"
PENNSYLVANIA,State,1920,8720017.00,13.8,194.9,8,36,0,"242,223"
PUERTO RICO,State,1920,1299809.00,16.3,379.6,5,,,
RHODE ISLAND,State,1920,604397.00,11.4,584.6,2,3,0,"201,466"
SOUTH CAROLINA,State,1920,1683724.00,11.1,56,19,7,0,"240,532"
SOUTH DAKOTA,State,1920,636547.00,9,8.4,43,3,0,"210,413"
TENNESSEE,State,1920,2337885.00,7,56.7,18,10,0,"233,789"
TEXAS,State,1920,4663228.00,19.7,17.9,39,18,0,"259,068"
UTAH,State,1920,449396.00,20.4,5.5,45,2,0,"224,194"
VERMONT,State,1920,352428.00,-1,38.2,30,2,0,"176,214"
VIRGINIA,State,1920,2309187.00,12,58.5,17,10,0,"230,919"
WASHINGTON,State,1920,1356621.00,18.8,20.4,37,5,0,"270,919"
WEST VIRGINIA,State,1920,1463701.00,19.9,60.9,15,6,0,"243,950"
WISCONSIN,State,1920,2632067.00,12.8,48.6,24,11,0,"239,210"
WYOMING,State,1920,194402.00,33.2,2,50,1,0,"193,487"
MIDWEST REGION,Region,1920,34019792.00,13.8,,,,,
NORTHEAST REGION,Region,1920,29662053.00,14.7,,,,,
SOUTH REGION,Region,1920,33125803.00,12.7,,,,,
WEST REGION,Region,1920,9213920.00,30.1,,,,,
UNITED STATES,Nation,1920,106021568.00,15,29.9,,435,0,"241,864"
ALABAMA,State,1930,2646248.00,12.7,52.3,24,9,-1,"294,027"
ALASKA,State,1930,59278.00,7.7,0.1,52,,,
ARIZONA,State,1930,435573.00,30.3,3.8,47,1,1,"389,375"
ARKANSAS,State,1930,1854482.00,5.8,35.6,32,7,0,"264,921"
CALIFORNIA,State,1930,5677251.00,65.7,36.4,31,20,9,"283,412"
COLORADO,State,1930,1035791.00,10.2,10,41,4,0,"258,712"
CONNECTICUT,State,1930,1606903.00,16.4,331.8,6,6,1,"267,816"
DELAWARE,State,1930,238380.00,6.9,122.3,12,1,0,"238,380"
DISTRICT OF COLUMBIA,State,1930,486869.00,11.3,"7,975.10",1,,,
FLORIDA,State,1930,1468211.00,51.6,27.4,35,5,1,"293,638"
GEORGIA,State,1930,2908506.00,0.4,50.6,26,10,-2,"290,845"
HAWAII,State,1930,368336.00,43.9,57.3,21,,,
IDAHO,State,1930,445032.00,3,5.4,46,2,0,"220,768"
ILLINOIS,State,1930,7630654.00,17.7,137.4,11,27,0,"282,607"
INDIANA,State,1930,3238503.00,10.5,90.4,13,12,-1,"269,873"
IOWA,State,1930,2470939.00,2.8,44.2,28,9,-2,"274,491"
KANSAS,State,1930,1880999.00,6.3,23,38,7,-1,"268,500"
KENTUCKY,State,1930,2614589.00,8.2,66.2,16,9,-2,"290,508"
LOUISIANA,State,1930,2101593.00,16.9,48.6,27,8,0,"262,699"
MAINE,State,1930,797423.00,3.8,25.9,36,3,-1,"265,806"
MARYLAND,State,1930,1631526.00,12.5,168.1,9,6,0,"271,920"
MASSACHUSETTS,State,1930,4249614.00,10.3,544.8,4,15,-1,"283,307"
MICHIGAN,State,1930,4842325.00,32,85.6,14,17,4,"284,827"
MINNESOTA,State,1930,2563953.00,7.4,32.2,34,9,-1,"283,509"
MISSISSIPPI,State,1930,2009821.00,12.2,42.8,29,7,-1,"286,879"
MISSOURI,State,1930,3629367.00,6.6,52.8,23,13,-3,"279,162"
MONTANA,State,1930,537606.00,-2.1,3.7,48,2,0,"262,365"
NEBRASKA,State,1930,1377963.00,6.3,17.9,40,5,-1,"275,025"
NEVADA,State,1930,91058.00,17.6,0.8,51,1,0,"86,390"
NEW HAMPSHIRE,State,1930,465293.00,5,52,25,2,0,"232,646"
NEW JERSEY,State,1930,4041334.00,28.1,549.5,3,14,2,"288,666"
NEW MEXICO,State,1930,423317.00,17.5,3.5,49,1,1,"395,982"
NEW YORK,State,1930,12588066.00,21.2,267.1,7,45,2,"279,733"
NORTH CAROLINA,State,1930,3170276.00,23.9,65.2,17,11,1,"287,934"
NORTH DAKOTA,State,1930,680845.00,5.3,9.9,42,2,-1,"336,670"
OHIO,State,1930,6646697.00,15.4,162.7,10,24,2,"276,943"
OKLAHOMA,State,1930,2396040.00,18.1,34.9,33,9,1,"264,691"
OREGON,State,1930,953786.00,21.8,9.9,42,3,0,"316,793"
PENNSYLVANIA,State,1930,9631350.00,10.5,215.3,8,34,-2,"283,274"
PUERTO RICO,State,1930,1543913.00,18.8,450.9,5,,,
RHODE ISLAND,State,1930,687497.00,13.7,665,2,2,-1,"343,749"
SOUTH CAROLINA,State,1930,1738765.00,3.3,57.8,20,6,-1,"289,793"
SOUTH DAKOTA,State,1930,692849.00,8.8,9.1,44,2,-1,"336,503"
TENNESSEE,State,1930,2616556.00,11.9,63.5,18,9,-1,"290,722"
TEXAS,State,1930,5824715.00,24.9,22.3,39,21,3,"277,362"
UTAH,State,1930,507847.00,13,6.2,45,2,0,"252,871"
VERMONT,State,1930,359611.00,2,39,30,1,-1,"359,611"
VIRGINIA,State,1930,2421851.00,4.9,61.3,19,9,-1,"269,092"
WASHINGTON,State,1930,1563396.00,15.2,23.5,37,6,1,"258,737"
WEST VIRGINIA,State,1930,1729205.00,18.1,71.9,15,6,0,"288,200"
WISCONSIN,State,1930,2939006.00,11.7,54.3,22,10,-1,"293,172"
WYOMING,State,1930,225565.00,16,2.3,50,1,0,"223,630"
MIDWEST REGION,Region,1930,38594100.00,13.4,,,,,
NORTHEAST REGION,Region,1930,34427091.00,16.1,,,,,
SOUTH REGION,Region,1930,37857633.00,14.3,,,,,
WEST REGION,Region,1930,12323836.00,33.8,,,,,
UNITED STATES,Nation,1930,123202660.00,16.2,34.7,,435,27,"280,675"
ALABAMA,State,1940,2832961.00,7.1,55.9,23,9,0,"314,773"
ALASKA,State,1940,72524.00,22.3,0.1,52,,,
ARIZONA,State,1940,499261.00,14.6,4.4,47,2,1,"249,631"
ARKANSAS,State,1940,1949387.00,5.1,37.5,32,7,0,"278,484"
CALIFORNIA,State,1940,6907387.00,21.7,44.3,30,23,3,"300,321"
COLORADO,State,1940,1123296.00,8.4,10.8,42,4,0,"280,824"
CONNECTICUT,State,1940,1709242.00,6.4,353,6,6,0,"284,874"
DELAWARE,State,1940,266505.00,11.8,136.8,12,1,0,"266,505"
DISTRICT OF COLUMBIA,State,1940,663091.00,36.2,"10,861.70",1,,,
FLORIDA,State,1940,1897414.00,29.2,35.4,33,6,1,"316,236"
GEORGIA,State,1940,3123723.00,7.4,54.3,27,10,0,"312,372"
HAWAII,State,1940,423330.00,14.9,65.9,20,,,
IDAHO,State,1940,524873.00,17.9,6.4,46,2,0,"262,437"
ILLINOIS,State,1940,7897241.00,3.5,142.2,11,26,-1,"303,740"
INDIANA,State,1940,3427796.00,5.8,95.7,13,11,-1,"311,618"
IOWA,State,1940,2538268.00,2.7,45.4,29,8,-1,"317,284"
KANSAS,State,1940,1801028.00,-4.3,22,39,6,-1,"300,171"
KENTUCKY,State,1940,2845627.00,8.8,72.1,17,9,0,"316,181"
LOUISIANA,State,1940,2363880.00,12.5,54.7,26,8,0,"295,485"
MAINE,State,1940,847226.00,6.2,27.5,36,3,0,"282,409"
MARYLAND,State,1940,1821244.00,11.6,187.6,9,6,0,"303,541"
MASSACHUSETTS,State,1940,4316721.00,1.6,553.4,4,14,-1,"308,337"
MICHIGAN,State,1940,5256106.00,8.5,93,14,17,0,"309,183"
MINNESOTA,State,1940,2792300.00,8.9,35.1,34,9,0,"310,256"
MISSISSIPPI,State,1940,2183796.00,8.7,46.5,28,7,0,"311,971"
MISSOURI,State,1940,3784664.00,4.3,55.1,24,13,0,"291,128"
MONTANA,State,1940,559456.00,4.1,3.8,49,2,0,"279,728"
NEBRASKA,State,1940,1315834.00,-4.5,17.1,40,4,-1,"328,959"
NEVADA,State,1940,110247.00,21.1,1,51,1,0,"110,247"
NEW HAMPSHIRE,State,1940,491524.00,5.6,54.9,25,2,0,"245,762"
NEW JERSEY,State,1940,4160165.00,2.9,565.7,3,14,0,"297,155"
NEW MEXICO,State,1940,531818.00,25.6,4.4,47,2,1,"265,909"
NEW YORK,State,1940,13479142.00,7.1,286,7,45,0,"299,536"
NORTH CAROLINA,State,1940,3571623.00,12.7,73.5,16,12,1,"297,635"
NORTH DAKOTA,State,1940,641935.00,-5.7,9.3,43,2,0,"320,968"
OHIO,State,1940,6907612.00,3.9,169.1,10,23,-1,"300,331"
OKLAHOMA,State,1940,2336434.00,-2.5,34.1,35,8,-1,"292,054"
OREGON,State,1940,1089684.00,14.2,11.4,41,4,1,"272,421"
PENNSYLVANIA,State,1940,9900180.00,2.8,221.3,8,33,-1,"300,005"
PUERTO RICO,State,1940,1869255.00,21.1,546,5,,,
RHODE ISLAND,State,1940,713346.00,3.8,690,2,2,0,"356,673"
SOUTH CAROLINA,State,1940,1899804.00,9.3,63.2,21,6,0,"316,634"
SOUTH DAKOTA,State,1940,642961.00,-7.2,8.5,44,2,0,"321,481"
TENNESSEE,State,1940,2915841.00,11.4,70.7,18,10,1,"291,584"
TEXAS,State,1940,6414824.00,10.1,24.6,38,21,0,"305,468"
UTAH,State,1940,550310.00,8.4,6.7,45,2,0,"275,155"
VERMONT,State,1940,359231.00,-0.1,39,31,1,0,"359,231"
VIRGINIA,State,1940,2677773.00,10.6,67.8,19,9,0,"297,530"
WASHINGTON,State,1940,1736191.00,11.1,26.1,37,6,0,"289,365"
WEST VIRGINIA,State,1940,1901974.00,10,79.1,15,6,0,"316,996"
WISCONSIN,State,1940,3137587.00,6.8,57.9,22,10,0,"313,759"
WYOMING,State,1940,250742.00,11.2,2.6,50,1,0,"250,742"
MIDWEST REGION,Region,1940,40143332.00,4,,,,,
NORTHEAST REGION,Region,1940,35976777.00,4.5,,,,,
SOUTH REGION,Region,1940,41665901.00,10.1,,,,,
WEST REGION,Region,1940,14379119.00,16.7,,,,,
UNITED STATES,Nation,1940,132165129.00,7.3,37.2,,435,9,"301,164"
ALABAMA,State,1950,3061743.00,8.1,60.5,24,9,0,"340,194"
ALASKA,State,1950,128643.00,77.4,0.2,52,,,
ARIZONA,State,1950,749587.00,50.1,6.6,47,2,0,"374,794"
ARKANSAS,State,1950,1909511.00,-2,36.7,34,6,-1,"318,252"
CALIFORNIA,State,1950,10586223.00,53.3,68,22,30,7,"352,874"
COLORADO,State,1950,1325089.00,18,12.8,42,4,0,"331,272"
CONNECTICUT,State,1950,2007280.00,17.4,414.5,6,6,0,"334,547"
DELAWARE,State,1950,318085.00,19.4,163.2,11,1,0,"318,085"
DISTRICT OF COLUMBIA,State,1950,802178.00,21,"13,140.00",1,,,
FLORIDA,State,1950,2771305.00,46.1,51.7,29,8,2,"346,413"
GEORGIA,State,1950,3444578.00,10.3,59.9,27,10,0,"344,458"
HAWAII,State,1950,499794.00,18.1,77.8,19,,,
IDAHO,State,1950,588637.00,12.1,7.1,46,2,0,"294,319"
ILLINOIS,State,1950,8712176.00,10.3,156.9,12,25,-1,"348,487"
INDIANA,State,1950,3934224.00,14.8,109.8,14,11,0,"357,657"
IOWA,State,1950,2621073.00,3.3,46.9,30,8,0,"327,634"
KANSAS,State,1950,1905299.00,5.8,23.3,39,6,0,"317,550"
KENTUCKY,State,1950,2944806.00,3.5,74.6,20,8,-1,"368,101"
LOUISIANA,State,1950,2683516.00,13.5,62.1,25,8,0,"335,440"
MAINE,State,1950,913774.00,7.9,29.6,37,3,0,"304,591"
MARYLAND,State,1950,2343001.00,28.6,241.4,8,7,1,"334,714"
MASSACHUSETTS,State,1950,4690514.00,8.7,601.3,5,14,0,"335,037"
MICHIGAN,State,1950,6371766.00,21.2,112.7,13,18,1,"353,987"
MINNESOTA,State,1950,2982483.00,6.8,37.5,33,9,0,"331,387"
MISSISSIPPI,State,1950,2178914.00,-0.2,46.4,31,6,-1,"363,152"
MISSOURI,State,1950,3954653.00,4.5,57.5,28,11,-2,"359,514"
MONTANA,State,1950,591024.00,5.6,4.1,49,2,0,"295,512"
NEBRASKA,State,1950,1325510.00,0.7,17.3,40,4,0,"331,378"
NEVADA,State,1950,160083.00,45.2,1.5,51,1,0,"160,083"
NEW HAMPSHIRE,State,1950,533242.00,8.5,59.6,26,2,0,"266,621"
NEW JERSEY,State,1950,4835329.00,16.2,657.5,4,14,0,"345,381"
NEW MEXICO,State,1950,681187.00,28.1,5.6,48,2,0,"340,594"
NEW YORK,State,1950,14830192.00,10,314.7,7,43,-2,"344,888"
NORTH CAROLINA,State,1950,4061929.00,13.7,83.5,17,12,0,"338,494"
NORTH DAKOTA,State,1950,619636.00,-3.5,9,43,2,0,"309,818"
OHIO,State,1950,7946627.00,15,194.5,10,23,0,"345,506"
OKLAHOMA,State,1950,2233351.00,-4.4,32.6,36,6,-2,"372,225"
OREGON,State,1950,1521341.00,39.6,15.8,41,4,0,"380,335"
PENNSYLVANIA,State,1950,10498012.00,6,234.6,9,30,-3,"349,934"
PUERTO RICO,State,1950,2210703.00,18.3,645.7,2,,,
RHODE ISLAND,State,1950,791896.00,11,766,3,2,0,"395,948"
SOUTH CAROLINA,State,1950,2117027.00,11.4,70.4,21,6,0,"352,838"
SOUTH DAKOTA,State,1950,652740.00,1.5,8.6,44,2,0,"326,370"
TENNESSEE,State,1950,3291718.00,12.9,79.8,18,9,-1,"365,746"
TEXAS,State,1950,7711194.00,20.2,29.5,38,22,1,"350,509"
UTAH,State,1950,688862.00,25.2,8.4,45,2,0,"344,431"
VERMONT,State,1950,377747.00,5.2,41,32,1,0,"377,747"
VIRGINIA,State,1950,3318680.00,23.9,84,16,10,1,"331,868"
WASHINGTON,State,1950,2378963.00,37,35.8,35,7,1,"339,852"
WEST VIRGINIA,State,1950,2005552.00,5.4,83.4,15,6,0,"334,259"
WISCONSIN,State,1950,3434575.00,9.5,63.4,23,10,0,"343,458"
WYOMING,State,1950,290529.00,15.9,3,50,1,0,"290,529"
MIDWEST REGION,Region,1950,44460762.00,10.8,,,,,
NORTHEAST REGION,Region,1950,39477986.00,9.7,,,,,
SOUTH REGION,Region,1950,47197088.00,13.3,,,,,
WEST REGION,Region,1950,20189962.00,40.4,,,,,
UNITED STATES,Nation,1950,151325798.00,14.5,42.6,,435,14,"344,587"
ALABAMA,State,1960,3266740.00,6.7,64.5,28,8,-1,"408,343"
ALASKA,State,1960,226167.00,75.8,0.4,52,1,1,"226,167"
ARIZONA,State,1960,1302161.00,73.7,11.5,43,3,1,"434,054"
ARKANSAS,State,1960,1786272.00,-6.5,34.3,36,4,-2,"446,568"
CALIFORNIA,State,1960,15717204.00,48.5,100.9,15,38,8,"413,611"
COLORADO,State,1960,1753947.00,32.4,16.9,42,4,0,"438,487"
CONNECTICUT,State,1960,2535234.00,26.3,523.6,6,6,0,"422,539"
DELAWARE,State,1960,446292.00,40.3,229,11,1,0,"446,292"
DISTRICT OF COLUMBIA,State,1960,763956.00,-4.8,"12,513.90",1,,,
FLORIDA,State,1960,4951560.00,78.7,92.3,19,12,4,"412,630"
GEORGIA,State,1960,3943116.00,14.5,68.6,26,10,0,"394,312"
HAWAII,State,1960,632772.00,26.6,98.5,17,2,2,"316,386"
IDAHO,State,1960,667191.00,13.3,8.1,47,2,0,"333,596"
ILLINOIS,State,1960,10081158.00,15.7,181.6,12,24,-1,"420,048"
INDIANA,State,1960,4662498.00,18.5,130.1,14,11,0,"423,863"
IOWA,State,1960,2757537.00,5.2,49.4,30,7,-1,"393,934"
KANSAS,State,1960,2178611.00,14.3,26.6,39,5,-1,"435,722"
KENTUCKY,State,1960,3038156.00,3.2,76.9,23,7,-1,"434,022"
LOUISIANA,State,1960,3257022.00,21.4,75.4,24,8,0,"407,128"
MAINE,State,1960,969265.00,6.1,31.4,38,2,-1,"484,633"
MARYLAND,State,1960,3100689.00,32.3,319.4,8,8,1,"387,586"
MASSACHUSETTS,State,1960,5148578.00,9.8,660.1,5,12,-2,"429,048"
MICHIGAN,State,1960,7823194.00,22.8,138.4,13,19,1,"411,747"
MINNESOTA,State,1960,3413864.00,14.5,42.9,32,8,-1,"426,733"
MISSISSIPPI,State,1960,2178141.00,0,46.4,31,5,-1,"435,628"
MISSOURI,State,1960,4319813.00,9.2,62.8,29,10,-1,"431,981"
MONTANA,State,1960,674767.00,14.2,4.6,49,2,0,"337,384"
NEBRASKA,State,1960,1411330.00,6.5,18.4,40,3,-1,"470,443"
NEVADA,State,1960,285278.00,78.2,2.6,51,1,0,"285,278"
NEW HAMPSHIRE,State,1960,606921.00,13.8,67.8,27,2,0,"303,461"
NEW JERSEY,State,1960,6066782.00,25.5,824.9,3,15,1,"404,452"
NEW MEXICO,State,1960,951023.00,39.6,7.8,48,2,0,"475,512"
NEW YORK,State,1960,16782304.00,13.2,356.1,7,41,-2,"409,324"
NORTH CAROLINA,State,1960,4556155.00,12.2,93.7,18,11,-1,"414,196"
NORTH DAKOTA,State,1960,632446.00,2.1,9.2,45,2,0,"316,223"
OHIO,State,1960,9706397.00,22.1,237.5,10,24,1,"404,433"
OKLAHOMA,State,1960,2328284.00,4.3,33.9,37,6,0,"388,047"
OREGON,State,1960,1768687.00,16.3,18.4,40,4,0,"442,172"
PENNSYLVANIA,State,1960,11319366.00,7.8,253,9,27,-3,"419,236"
PUERTO RICO,State,1960,2349544.00,6.3,686.2,4,,,
RHODE ISLAND,State,1960,859488.00,8.5,831.4,2,2,0,"429,744"
SOUTH CAROLINA,State,1960,2382594.00,12.5,79.3,21,6,0,"397,099"
SOUTH DAKOTA,State,1960,680514.00,4.3,9,46,2,0,"340,257"
TENNESSEE,State,1960,3567089.00,8.4,86.5,20,9,0,"396,343"
TEXAS,State,1960,9579677.00,24.2,36.7,35,23,1,"416,508"
UTAH,State,1960,890627.00,29.3,10.8,44,2,0,"445,314"
VERMONT,State,1960,389881.00,3.2,42.3,34,1,0,"389,881"
VIRGINIA,State,1960,3966949.00,19.5,100.5,16,10,0,"396,695"
WASHINGTON,State,1960,2853214.00,19.9,42.9,32,7,0,"407,602"
WEST VIRGINIA,State,1960,1860421.00,-7.2,77.4,22,5,-1,"372,084"
WISCONSIN,State,1960,3951777.00,15.1,73,25,10,0,"395,178"
WYOMING,State,1960,330066.00,13.6,3.4,50,1,0,"330,066"
MIDWEST REGION,Region,1960,51619139.00,16.1,,,,,
NORTHEAST REGION,Region,1960,44677819.00,13.2,,,,,
SOUTH REGION,Region,1960,54973113.00,16.5,,,,,
WEST REGION,Region,1960,28053104.00,38.9,,,,,
UNITED STATES,Nation,1960,179323175.00,18.5,50.6,,435,21,"410,481"
ALABAMA,State,1970,3444165.00,5.4,68,28,7,-1,"496,555"
ALASKA,State,1970,300382.00,32.8,0.5,52,1,0,"304,067"
ARIZONA,State,1970,1770900.00,36,15.6,43,4,1,"446,905"
ARKANSAS,State,1970,1923295.00,7.7,37,37,4,0,"485,576"
CALIFORNIA,State,1970,19953134.00,27,128.1,15,43,5,"467,415"
COLORADO,State,1970,2207259.00,25.8,21.3,41,5,1,"445,354"
CONNECTICUT,State,1970,3031709.00,19.6,626.1,6,6,0,"508,449"
DELAWARE,State,1970,548104.00,22.8,281.3,9,1,0,"551,928"
DISTRICT OF COLUMBIA,State,1970,756510.00,-1,"12,392.00",1,,,
FLORIDA,State,1970,6789443.00,37.1,126.6,16,15,3,"457,047"
GEORGIA,State,1970,4589575.00,16.4,79.8,26,10,0,"462,731"
HAWAII,State,1970,768561.00,21.5,119.7,17,2,0,"392,451"
IDAHO,State,1970,712567.00,6.8,8.6,47,2,0,"359,961"
ILLINOIS,State,1970,11113976.00,10.2,200.2,12,24,0,"466,013"
INDIANA,State,1970,5193669.00,11.4,145,14,11,0,"475,287"
IOWA,State,1970,2824376.00,2.4,50.6,31,6,-1,"474,487"
KANSAS,State,1970,2246578.00,3.1,27.5,39,5,0,"453,169"
KENTUCKY,State,1970,3218706.00,5.9,81.5,25,7,0,"463,783"
LOUISIANA,State,1970,3641306.00,11.8,84.3,22,8,0,"459,001"
MAINE,State,1970,992048.00,2.4,32.2,38,2,0,"503,160"
MARYLAND,State,1970,3922399.00,26.5,404.1,7,8,0,"494,212"
MASSACHUSETTS,State,1970,5689170.00,10.5,729.4,5,12,0,"477,223"
MICHIGAN,State,1970,8875083.00,13.4,157,13,19,0,"470,379"
MINNESOTA,State,1970,3804971.00,11.5,47.8,33,8,0,"479,147"
MISSISSIPPI,State,1970,2216912.00,1.8,47.2,34,5,0,"446,770"
MISSOURI,State,1970,4676501.00,8.3,68,28,10,0,"471,803"
MONTANA,State,1970,694409.00,2.9,4.8,49,2,0,"350,787"
